index,jwf_code,m_code,ean,jwf_description,simplified_description,category,price_marked,pmp_price,size
99,323120,42003964,5000382114642,BARRS SIMPLY FRUITY APPLE & BLACK,Apple and Blackcurrent,simply_fruity,FALSE,,330ml
100,323180,42003955,5000382115236,BARRS SIMPLY FRUITY ORANGE,Orange,simply_fruity,FALSE,,330ml
101,323170,42001475,5000382018476,BARRS SIMPLY FRUITY STRAWBERRY,Strawberry,simply_fruity,FALSE,,330ml
102,323160,42001490,5000382018414,BARRS SIMPLY FRUITY APPLE,Apple,simply_fruity,FALSE,,330ml
103,243740,42001819,50107353,BARRS IRN BRU PET,Irn Bru Regular,irn_bru,FALSE,,1L
104,118730,42001820,50107391,BARRS IRN BRU SUGAR FREE PET,Irn Bru Sugar Free,irn_bru,FALSE,,1L
105,247000,42004144,5000382103943,BARRS IRN BRU XTRA PET,Irn Bru Xtra,irn_bru,FALSE,,1L
106,247030,42003351,5000382104414,RUBICON SPRING ORANGE MANGO,Spring Orange and Mango,rubicon,FALSE,,1.5L
107,247040,42003725,5000382104377,RUBICON SPRING STRAWBERRY KIWI,Spring Strawberry and Kiwi,rubicon,FALSE,,1.5L
108,247050,42003352,5000382104384,RUBICON SPRING BLACK CHERRY RASPBERRY,Spring Black Cherry and Raspberry,rubicon,FALSE,,1.5L
